url,event_id,task_id,task_type,trial_id,duration(mS),start(yyyy:mm:dd:hh:mn:ss:mls),end(yyyy:mm:dd:hh:mn:ss:mls),isi,set,stim_type,stim_id,stim_pool_id,response
http://ashy.ca/memory/experiments/delay/memory.html,0,0,instructions,0,1496.8,2017:50:20:22:37:42:341,2017:50:20:22:37:43:838,,,,,,""
http://ashy.ca/memory/experiments/delay/memory.html,1,1,isi,0,502.4,2017:50:20:22:37:43:838,2017:50:20:22:37:44:340,500,500,,,,""
http://ashy.ca/memory/experiments/delay/memory.html,2,2,instructions,0,733.8,2017:50:20:22:37:44:340,2017:50:20:22:37:45:740,,,,,,""
http://ashy.ca/memory/experiments/delay/memory.html,3,1,delay,0,7759.7,2017:50:20:22:37:45:740,2017:50:20:22:37:52:833,,,,,,"typing something in here and pressing escape.."
http://ashy.ca/memory/experiments/delay/memory.html,4,3,instructions,0,831.1,2017:50:20:22:37:52:834,2017:50:20:22:37:53:665,,,,,,""
http://ashy.ca/memory/experiments/delay/memory.html,5,4,isi,0,505.5,2017:50:20:22:37:53:665,2017:50:20:22:37:54:170,500,500,,,,""
http://ashy.ca/memory/experiments/delay/memory.html,6,5,instructions,0,1067.9,2017:50:20:22:37:54:170,2017:50:20:22:37:55:238,,,,,,""
http://ashy.ca/memory/experiments/delay/memory.html,7,4,delay,0,5003.7,2017:50:20:22:37:55:238,2017:50:20:22:38:00:242,,5000,,,,"peru india japan cyprus is"
http://ashy.ca/memory/experiments/delay/memory.html,8,6,instructions,0,5003.2,2017:50:20:22:38:00:242,2017:50:20:22:38:50:245,,5000,,,,""
http://ashy.ca/memory/experiments/delay/memory.html,9,7,instructions,0,1817.5,2017:50:20:22:38:50:245,2017:50:20:22:38:70:620,,,,,,""
http://ashy.ca/memory/experiments/delay/memory.html,10,8,isi,0,503.9,2017:50:20:22:38:70:620,2017:50:20:22:38:70:566,500,500,,,,""
http://ashy.ca/memory/experiments/delay/memory.html,11,9,instructions,0,2055.8,2017:50:20:22:38:70:566,2017:50:20:22:38:90:622,,,,,,""
http://ashy.ca/memory/experiments/delay/memory.html,12,8,delay,0,6003.1,2017:50:20:22:38:90:622,2017:50:20:22:38:15:625,,6000,,,,"canada bermuda panama germany "
http://ashy.ca/memory/experiments/delay/memory.html,13,10,instructions,0,949.1,2017:50:20:22:38:15:625,2017:50:20:22:38:16:574,,,,,,""
