url,event_id,task_id,task_type,trial_id,duration(mS),start(yyyy:mm:dd:hh:mn:ss:mls),end(yyyy:mm:dd:hh:mn:ss:mls),isi,set,stim_type,stim_id,stim_pool_id,response
http://web.uvic.ca/~lindlab/memory/experiments/my-experiment/memory.html,0,0,instructions,0,554.6,2017:50:23:18:53:58:554,2017:50:23:18:53:59:109,,,,,,""
http://web.uvic.ca/~lindlab/memory/experiments/my-experiment/memory.html,1,1,isi,0,115,2017:50:23:18:53:59:109,2017:50:23:18:53:59:224,111,111,,,2,""
http://web.uvic.ca/~lindlab/memory/experiments/my-experiment/memory.html,2,1,study_phase,0,610.2,2017:50:23:18:53:59:224,2017:50:23:18:53:59:834,,4500,word,dogovarivatsya,2,""
http://web.uvic.ca/~lindlab/memory/experiments/my-experiment/memory.html,3,1,isi,1,114.6,2017:50:23:18:53:59:834,2017:50:23:18:53:59:949,111,111,,,2,""
http://web.uvic.ca/~lindlab/memory/experiments/my-experiment/memory.html,4,1,study_phase,1,346.4,2017:50:23:18:53:59:949,2017:50:23:18:54:00:295,,4500,image,../../images/198.jpg,2,""
http://web.uvic.ca/~lindlab/memory/experiments/my-experiment/memory.html,5,1,isi,2,113.5,2017:50:23:18:54:00:296,2017:50:23:18:54:00:409,111,111,,,2,""
http://web.uvic.ca/~lindlab/memory/experiments/my-experiment/memory.html,6,1,study_phase,2,332.6,2017:50:23:18:54:00:409,2017:50:23:18:54:00:742,,4500,image,../../images/194.jpg,1,""
http://web.uvic.ca/~lindlab/memory/experiments/my-experiment/memory.html,7,1,isi,3,113.9,2017:50:23:18:54:00:742,2017:50:23:18:54:00:856,111,111,,,2,""
http://web.uvic.ca/~lindlab/memory/experiments/my-experiment/memory.html,8,1,study_phase,3,311.6,2017:50:23:18:54:00:856,2017:50:23:18:54:10:167,,4500,image,../../images/16.jpg,1,""
http://web.uvic.ca/~lindlab/memory/experiments/my-experiment/memory.html,9,1,isi,4,113.3,2017:50:23:18:54:10:167,2017:50:23:18:54:10:281,111,111,,,2,""
http://web.uvic.ca/~lindlab/memory/experiments/my-experiment/memory.html,10,1,study_phase,4,278,2017:50:23:18:54:10:281,2017:50:23:18:54:10:559,,4500,image,../../images/48.jpg,1,""
http://web.uvic.ca/~lindlab/memory/experiments/my-experiment/memory.html,11,1,isi,5,114.8,2017:50:23:18:54:10:559,2017:50:23:18:54:10:673,111,111,,,2,""
http://web.uvic.ca/~lindlab/memory/experiments/my-experiment/memory.html,12,1,study_phase,5,230.2,2017:50:23:18:54:10:673,2017:50:23:18:54:10:904,,4500,image,../../images/70.jpg,1,""
http://web.uvic.ca/~lindlab/memory/experiments/my-experiment/memory.html,13,1,isi,6,113,2017:50:23:18:54:10:904,2017:50:23:18:54:20:170,111,111,,,2,""
http://web.uvic.ca/~lindlab/memory/experiments/my-experiment/memory.html,14,1,study_phase,6,258,2017:50:23:18:54:20:170,2017:50:23:18:54:20:275,,4500,word,floccinaucinihilipilification,1,""
http://web.uvic.ca/~lindlab/memory/experiments/my-experiment/memory.html,15,1,isi,7,113.6,2017:50:23:18:54:20:275,2017:50:23:18:54:20:388,111,111,,,2,""
