url,event_id,task_id,task_type,trial_id,duration(mS),start(yyyy:mm:dd:hh:mn:ss:mls),end(yyyy:mm:dd:hh:mn:ss:mls),isi,set,stim_type,stim_id,stim_pool_id,response
http://web.uvic.ca/~lindlab/memory/experiments/study-phase/memory.html,0,0,instructions,0,1298.3,2017:50:23:18:52:52:890,2017:50:23:18:52:53:388,,,,,,""
http://web.uvic.ca/~lindlab/memory/experiments/study-phase/memory.html,1,1,instructions,0,755.2,2017:50:23:18:52:53:388,2017:50:23:18:52:54:143,,,,,,""
http://web.uvic.ca/~lindlab/memory/experiments/study-phase/memory.html,2,2,isi,0,115.4,2017:50:23:18:52:54:143,2017:50:23:18:52:54:258,111,111,,,1,""
http://web.uvic.ca/~lindlab/memory/experiments/study-phase/memory.html,3,2,study_phase,0,461.5,2017:50:23:18:52:54:259,2017:50:23:18:52:54:720,,5000,word,floccinaucinihilipilification,1,""
http://web.uvic.ca/~lindlab/memory/experiments/study-phase/memory.html,4,2,isi,1,113.1,2017:50:23:18:52:54:720,2017:50:23:18:52:54:833,111,111,,,1,""
http://web.uvic.ca/~lindlab/memory/experiments/study-phase/memory.html,5,2,study_phase,1,302.9,2017:50:23:18:52:54:833,2017:50:23:18:52:55:136,,5000,image,../../images/70.jpg,1,""
http://web.uvic.ca/~lindlab/memory/experiments/study-phase/memory.html,6,2,isi,2,114.9,2017:50:23:18:52:55:136,2017:50:23:18:52:55:251,111,111,,,1,""
http://web.uvic.ca/~lindlab/memory/experiments/study-phase/memory.html,7,2,study_phase,2,310.5,2017:50:23:18:52:55:251,2017:50:23:18:52:55:562,,5000,image,../../images/48.jpg,1,""
http://web.uvic.ca/~lindlab/memory/experiments/study-phase/memory.html,8,2,isi,3,115.1,2017:50:23:18:52:55:562,2017:50:23:18:52:55:677,111,111,,,1,""
http://web.uvic.ca/~lindlab/memory/experiments/study-phase/memory.html,9,2,study_phase,3,265.2,2017:50:23:18:52:55:677,2017:50:23:18:52:55:942,,5000,image,../../images/194.jpg,1,""
http://web.uvic.ca/~lindlab/memory/experiments/study-phase/memory.html,10,2,isi,4,113.5,2017:50:23:18:52:55:942,2017:50:23:18:52:56:550,111,111,,,1,""
http://web.uvic.ca/~lindlab/memory/experiments/study-phase/memory.html,11,2,study_phase,4,287.2,2017:50:23:18:52:56:550,2017:50:23:18:52:56:343,,5000,image,../../images/16.jpg,1,""
